Package , CPU , GPU , DRAM? , Time (sec) 
../rust/binary-trees ; 37.089538574218750000, 30.949523925781250000,  ,  ,  9820.07 
../rust/binary-trees ; 35.085937500000000000, 29.797180175781250000,  ,  ,  9610.49 
../rust/binary-trees ; 34.377136230468750000, 29.075256347656250000,  ,  ,  9562.69 
../rust/binary-trees ; 34.294433593750000000, 29.015808105468750000,  ,  ,  9557.2 
../rust/binary-trees ; 34.245300292968750000, 28.972045898437500000,  ,  ,  9599.47 
../rust/binary-trees ; 33.962646484375000000, 28.686950683593750000,  ,  ,  9545.16 
../rust/binary-trees ; 34.520507812500000000, 28.859558105468750000,  ,  ,  9553.14 
../rust/binary-trees ; 34.647949218750000000, 28.931274414062500000,  ,  ,  9553.78 
../rust/binary-trees ; 34.556274414062500000, 28.781433105468750000,  ,  ,  9554.43 
../rust/binary-trees ; 35.123962402343750000, 29.307189941406250000,  ,  ,  9584.18 
